,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
226,367O8HRHLKWOG5L08FRNGJ1DZKL4SY,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:28 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:28 PDT 2020,,,33JKGHPFYHIAQ2FVXPFYS34TXY6MNR,A2BCNRHZU9V7C4,Submitted,2020-05-25 18:51:17,2020-05-25 19:03:53,Thu May 28 19:03:53 PDT 2020,,,,756,0% (0/0),0% (0/0),0% (0/0),cnndm9086,unilm_out_v1,"['624', '625', '626', '627', '628', '629', '630', '631', '632', '633', '634', '635', '636', '637', '638', '639']",Liverpool host Aston Villa in the FA Cup on Sunday . Brendan Rodgers says Man City are bigger than Liverpool or Manchester United . The Reds have been heavily linked with a # 50million move for Raheem Sterling . Sterling has two years left on his contract and is stalling on a new deal . Rodgers says the Anfield club have no intention of becoming their feeder team . Click .,Manchester City have been linked with Raheem Sterling.,Manchester City have been linked with summer move for Raheem Sterling.,Raheem Sterling has two years left on his contract.,Raheem Sterling is stalling on a new deal.,Brendan Rodgers says a move to city would not be a step up for Sterling.,Brendan Rodgers indicated it will take Manchester City 20 years to eclipse Liverpool.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,p,p,n,n,n,n,n,{},,
227,367O8HRHLKWOG5L08FRNGJ1DZKL4SY,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:28 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:28 PDT 2020,,,3L0KT67Y8J470WWEOOKVLS16T79SYG,A12ATVBE1I4567,Submitted,2020-05-25 17:27:50,2020-05-25 17:54:22,Thu May 28 17:54:22 PDT 2020,,,,1592,0% (0/0),0% (0/0),0% (0/0),cnndm9086,unilm_out_v1,"['624', '625', '626', '627', '628', '629', '630', '631', '632', '633', '634', '635', '636', '637', '638', '639']",Liverpool host Aston Villa in the FA Cup on Sunday . Brendan Rodgers says Man City are bigger than Liverpool or Manchester United . The Reds have been heavily linked with a # 50million move for Raheem Sterling . Sterling has two years left on his contract and is stalling on a new deal . Rodgers says the Anfield club have no intention of becoming their feeder team . Click .,Manchester City have been linked with Raheem Sterling.,Manchester City have been linked with summer move for Raheem Sterling.,Raheem Sterling has two years left on his contract.,Raheem Sterling is stalling on a new deal.,Brendan Rodgers says a move to city would not be a step up for Sterling.,Brendan Rodgers indicated it will take Manchester City 20 years to eclipse Liverpool.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,p,p,n,n,n,n,n,{},,
228,36818Z1KW71ZYDG2R10DLEF1ZEIA3N,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:26 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:26 PDT 2020,,,3DUZQ9U6SRCQW219JDXBETXCBPYVSZ,AXID3RPK6NZT6,Submitted,2020-05-25 16:44:47,2020-05-25 16:47:12,Thu May 28 16:47:12 PDT 2020,,,,145,100% (46/46),100% (46/46),100% (46/46),cnndm11264,unilm_out_v1,"['1344', '1345', '1346', '1347', '1348', '1349', '1350', '1351', '1352', '1353', '1354', '1355', '1356', '1357', '1358', '1359']","Margrethe Vestager , the EU's Competition Commissioner , Will Today serve the company with a formal charge sheet alleging that it breached anti-trust rules . Google currently boasts a 90 per cent share in Europe's search engine market . Ruling is the result of a five - year investigation into the American search giant . It means Google may ultimately have to change its business model and pay multi-billion pound .",The European Union will accuse Google,Google will be accused of illegally abusing its supremacy,The European Union could find Google,The fine could be more than 4 billion,The fine could be 10 per cent of Google's annual revenue,Brussels to say Google uses search engine  to divert traffic,The traffic is diverted to Google's own services,Google boasts a 90 percent share in Europe's search engine market,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,n,n,n,n,n,n,p,n,{},,
229,36818Z1KW71ZYDG2R10DLEF1ZEIA3N,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:26 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:26 PDT 2020,,,3YHH42UU5G3NZO53W7CLHETRPZE0LZ,AKTQD9Y44G495,Submitted,2020-05-25 16:44:58,2020-05-25 17:20:55,Thu May 28 17:20:55 PDT 2020,,,,2157,100% (33/33),100% (33/33),100% (33/33),cnndm11264,unilm_out_v1,"['1344', '1345', '1346', '1347', '1348', '1349', '1350', '1351', '1352', '1353', '1354', '1355', '1356', '1357', '1358', '1359']","Margrethe Vestager , the EU's Competition Commissioner , Will Today serve the company with a formal charge sheet alleging that it breached anti-trust rules . Google currently boasts a 90 per cent share in Europe's search engine market . Ruling is the result of a five - year investigation into the American search giant . It means Google may ultimately have to change its business model and pay multi-billion pound .",The European Union will accuse Google,Google will be accused of illegally abusing its supremacy,The European Union could find Google,The fine could be more than 4 billion,The fine could be 10 per cent of Google's annual revenue,Brussels to say Google uses search engine  to divert traffic,The traffic is diverted to Google's own services,Google boasts a 90 percent share in Europe's search engine market,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,n,n,n,p,n,{},,
230,36BTXXLZ3ZWCFQLNTQRIQ9WHDI24RA,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:27 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:27 PDT 2020,,,31IBVUNM9XNHSXWNDTXC7UEXMZ7VFJ,ACBK30I7R42NI,Submitted,2020-05-25 17:00:27,2020-05-25 17:04:27,Thu May 28 17:04:27 PDT 2020,,,,240,0% (0/0),0% (0/0),0% (0/0),cnndm6976,unilm_out_v1,"['48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63']","Paul Armstrong , 26 , flew to Cyprus to celebrate new job as it project manager . But he was stopped at airport with stun gun disguised as baton and Knuckle Duster . Armstrong pleaded guilty to possession of a firearm and two offensive weapons . He lost his job before he even started it at Newcastle Crown Court . Judge said : ` The general public need to be .",Paul Armstrong flew to Cyprus.,Paul Armstrong celebrated new job.,Paul Armstrong's new job was as IT project manager.,Paul Armstrong was stopped at the Airport.,Paul Armstrong had a stun gun.,Paul Armstrong had a baton.,Paul Armstrong had a Knuckle Duster.,Paul Armstrong had many objects in his bag.,Paul Armstrong pleaded guilty to possession of a firearm.,Paul Armstrong lost his job.,Paul Armstrong did not start his job.,Paul Armstrong was 26 years old.,Paul Armstrong was sentenced.,Paul Armstrong was sentenced to eight months in jail.,Paul Armstrong was suspended for two years.,BLANK,p,p,p,n,n,n,n,p,p,p,p,p,n,n,n,p,Good luck with your study!,,
232,36JW4WBR1A89OC49H2B739R2FZDFHC,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:29 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:29 PDT 2020,,,3DZQRBDBSQ36KTZQZ3R5VY5TK6IS3E,AKTQD9Y44G495,Submitted,2020-05-25 17:50:22,2020-05-25 18:25:05,Thu May 28 18:25:05 PDT 2020,,,,2083,100% (33/33),100% (33/33),100% (33/33),cnndm10563,unilm_out_v1,"['1504', '1505', '1506', '1507', '1508', '1509', '1510', '1511', '1512', '1513', '1514', '1515', '1516', '1517', '1518', '1519']","Olly Taylor , 27 , is offering the breakfast at the Black Milk Cereal Cafe in Manchester's Northern Quarter . The breakfast includes two types of cereal served in half an easter egg , with brownies , marshmallows and mini eggs , topped off with three different types of flavoured milk . The meal is so sweet it contains the equivalent of 388g of sugar or 97 teaspoons .",There are two types of cereal in an Easter egg.,An Easter egg is with marshmallows.,An Easter egg is with Brownies.,An Easter egg is served.,Black Milk Cafe is in Manchester's Northern Quarter.,"'Easter is less about what is used to mean , ' owner/Olly Taylor said .",BLANK,An Easter egg is served at Black Milk Cafe.,Olly Taylor is cafe owner.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,p,{},,
233,36JW4WBR1A89OC49H2B739R2FZDFHC,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:29 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:29 PDT 2020,,,3MH9DQ75710NTI3IJNTPTTCQ98ZUGV,A1OXMMKQV14L13,Submitted,2020-05-25 17:03:51,2020-05-25 17:05:34,Thu May 28 17:05:34 PDT 2020,,,,103,0% (0/0),0% (0/0),0% (0/0),cnndm10563,unilm_out_v1,"['1504', '1505', '1506', '1507', '1508', '1509', '1510', '1511', '1512', '1513', '1514', '1515', '1516', '1517', '1518', '1519']","Olly Taylor , 27 , is offering the breakfast at the Black Milk Cereal Cafe in Manchester's Northern Quarter . The breakfast includes two types of cereal served in half an easter egg , with brownies , marshmallows and mini eggs , topped off with three different types of flavoured milk . The meal is so sweet it contains the equivalent of 388g of sugar or 97 teaspoons .",There are two types of cereal in an Easter egg.,An Easter egg is with marshmallows.,An Easter egg is with Brownies.,An Easter egg is served.,Black Milk Cafe is in Manchester's Northern Quarter.,"'Easter is less about what is used to mean , ' owner/Olly Taylor said .",BLANK,An Easter egg is served at Black Milk Cafe.,Olly Taylor is cafe owner.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,p,n,{},,
234,373L46LKQBUGV4RD6D5PVZZM0NYKJO,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:30 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:30 PDT 2020,,,31UV0MXWNV0K4UJY8ALK6TXQP4DI58,A1A3J5IXCM8A7X,Submitted,2020-05-25 18:13:31,2020-05-25 18:15:33,Thu May 28 18:15:33 PDT 2020,,,,122,0% (0/0),0% (0/0),0% (0/0),cnndm3152,unilm_out_v1,"['1440', '1441', '1442', '1443', '1444', '1445', '1446', '1447', '1448', '1449', '1450', '1451', '1452', '1453', '1454', '1455']","The 21 - year - old singer argued with security after being stopped at the artists ` Entrance where Drake was performing at the festival in Indio , California . A video obtained by TMZ appears to shows Bieber being put in a chokehold and escorted from the area . The Canadian pop star and his entourage tried to gain entry to Drake's gig . They showed they had proper wristbands , but .",Bieber is the singer.,Singer/Bieber arrived at the artists' entrance.,Singer/Bieber tried to gain entry to Drake's gig .,Security said area was at full capacity.,Security denied admission.,A row erupted.,A staffer tried to get singer/Bieber into the gig .,That staffer was a Coachella staffer .,Security intervened.,Security put singer/Bieber in chokehold.,Security removed singer/Bieber from the area .,Admission was denied to singer/Bieber.,The security was festival security.,BLANK,BLANK,BLANK,p,p,p,n,n,n,n,p,p,p,n,n,n,n,n,p,{},,
235,373L46LKQBUGV4RD6D5PVZZM0NYKJO,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:30 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:30 PDT 2020,,,3R2UR8A0IF432ZEBCBHKI9KWUCIOXF,AE3ZQZ2Z81Z11,Submitted,2020-05-25 18:00:38,2020-05-25 18:01:27,Thu May 28 18:01:27 PDT 2020,,,,49,0% (0/0),0% (0/0),0% (0/0),cnndm3152,unilm_out_v1,"['1440', '1441', '1442', '1443', '1444', '1445', '1446', '1447', '1448', '1449', '1450', '1451', '1452', '1453', '1454', '1455']","The 21 - year - old singer argued with security after being stopped at the artists ` Entrance where Drake was performing at the festival in Indio , California . A video obtained by TMZ appears to shows Bieber being put in a chokehold and escorted from the area . The Canadian pop star and his entourage tried to gain entry to Drake's gig . They showed they had proper wristbands , but .",Bieber is the singer.,Singer/Bieber arrived at the artists' entrance.,Singer/Bieber tried to gain entry to Drake's gig .,Security said area was at full capacity.,Security denied admission.,A row erupted.,A staffer tried to get singer/Bieber into the gig .,That staffer was a Coachella staffer .,Security intervened.,Security put singer/Bieber in chokehold.,Security removed singer/Bieber from the area .,Admission was denied to singer/Bieber.,The security was festival security.,BLANK,BLANK,BLANK,p,p,p,p,n,n,n,p,p,p,n,n,n,n,n,p,{},,
236,375VMB7D5N7CMN1XWEY2FLPW3ZCIDX,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:26 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:26 PDT 2020,,,3R08VXYT7HJHSTHMLK4W54KUVL37WG,A2H0VR477QHYO7,Submitted,2020-05-25 18:03:01,2020-05-25 18:05:20,Thu May 28 18:05:20 PDT 2020,,,,139,100% (3/3),100% (3/3),100% (3/3),cnndm4637,unilm_out_v1,"['1552', '1553', '1554', '1555', '1556', '1557', '1558', '1559', '1560', '1561', '1562', '1563', '1564', '1565', '1566', '1567']","Emergency crews received a call saying ` someone ' had been knocked down by a car . Two ambulances were sent to Epping Forest , Essex , after caller said ` victim ' was a squirrel . But the vehicle turned out to be a squirrel that had been run over . One man said he had dropped his burger and it was ` bleeding ' . Another Woman Called to .",East of England Ambulance Service warned about hoax calls,The Ambulance Service warned that hoax calls can cost lives,Woman reported someone had been run over,Actual victim in the incident reported by the woman was a squirrel,A man dialled 999.,The man reported that he dropped a burger,The man reported that the dropped burger was bleeding,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,p,p,n,p,p,n,n,{},,
237,375VMB7D5N7CMN1XWEY2FLPW3ZCIDX,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:26 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:26 PDT 2020,,,3TPZPLC3M50971JY7MNB0T0IXM3P3N,A1A3J5IXCM8A7X,Submitted,2020-05-25 17:08:21,2020-05-25 17:11:32,Thu May 28 17:11:32 PDT 2020,,,,191,0% (0/0),0% (0/0),0% (0/0),cnndm4637,unilm_out_v1,"['1552', '1553', '1554', '1555', '1556', '1557', '1558', '1559', '1560', '1561', '1562', '1563', '1564', '1565', '1566', '1567']","Emergency crews received a call saying ` someone ' had been knocked down by a car . Two ambulances were sent to Epping Forest , Essex , after caller said ` victim ' was a squirrel . But the vehicle turned out to be a squirrel that had been run over . One man said he had dropped his burger and it was ` bleeding ' . Another Woman Called to .",East of England Ambulance Service warned about hoax calls,The Ambulance Service warned that hoax calls can cost lives,Woman reported someone had been run over,Actual victim in the incident reported by the woman was a squirrel,A man dialled 999.,The man reported that he dropped a burger,The man reported that the dropped burger was bleeding,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,p,p,n,p,p,n,n,{},,
239,37OPIVELVYRESLN16MPFP8GBIJ0AHU,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:30 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:30 PDT 2020,,,3V5Q80FXI2FDFUIS5OCZ4GSPMCK23M,AKTQD9Y44G495,Submitted,2020-05-25 17:50:14,2020-05-25 18:19:32,Thu May 28 18:19:32 PDT 2020,,,,1758,100% (33/33),100% (33/33),100% (33/33),cnndm1153,unilm_out_v1,"['768', '769', '770', '771', '772', '773', '774', '775', '776', '777', '778', '779', '780', '781', '782', '783']","Four - poster oak wood bed was dumped in car park of Redland House Hotel in Chester . It was left by builders who were renovating the property in Hough Green , Chester . Oblivious to true value and historical significance , construction workers dismantled it . It was snapped up for # 2,200 in 2010 by Ian Coulson , a four - poster bed specialist . But he was shocked when his new .",A bed was dumped.,A bed was left in a hotel car park.,The bed was a four - poster bed.,"The bed sold at auction for 2,200.",Owner suspected it had historic value.,Experts have been investigating.,Historian now claims the bed belonged to Henry VII .,"DNA from the timber proves who the bed belonged to, it is claimed.",The bed is ornate.,The bed is now on display.,The bed was made for Henry VII / King.,The bed was also made for Henry VII's wife / King's wife / Elizabeth of York .,Elizabeth of York was wife of Henry VII / King.,The bed sold at an auction.,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,n,n,n,n,n,{},,
240,37PGLWGSKXUK0T77OVKPJYKMN89IKA,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:30 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:30 PDT 2020,,,3NPFYT4IZHSFAMXDOS4CD0BU3QLXGV,A1A3J5IXCM8A7X,Submitted,2020-05-25 17:30:20,2020-05-25 17:32:47,Thu May 28 17:32:47 PDT 2020,,,,147,0% (0/0),0% (0/0),0% (0/0),cnndm7397,unilm_out_v1,"['640', '641', '642', '643', '644', '645', '646', '647', '648', '649', '650', '651', '652', '653', '654', '655']",Philadelphia mayoral candidate Lynne Abraham collapsed on stage 10 minutes into Tuesday Night's hour - long debate between Democratic candidates running for Mayor of Philadelphia . The former Philadelphia District Attorney allegedly suffered a momentary drop in blood pressure and sat out the rest of the debate . Abraham said she was embarrassed but feeling well and that the incident won't impact her campaign . In a poll conducted after .,Lynne Abraham is a candidate.,Candidate / Lynne Abraham says she suffered a drop in blood pressure.,The drop in blood pressure was momentary.,Candidate / Lynne Abraham says the drop in blood pressure has never happened before .,A doctor kept candidate / Lynne Abraham from returning to the debate.,Candidate / Lynne Abraham was kept from returning to the debate.,Candidate / Lynne Abraham is a former District Attorney.,Candidate / Lynne Abraham is a 74 - year - old.,Candidate / Lynne Abraham says she will not let the incident affect her campaign .,Candidate / Lynne Abraham is running a campaign .,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,p,p,p,n,n,n,n,n,p,{},,
241,37PGLWGSKXUK0T77OVKPJYKMN89IKA,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:30 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:30 PDT 2020,,,3WJ1OXY92F4OLUJ2UK0A1FJYEM38AQ,A59L67EZKMC3V,Submitted,2020-05-25 17:46:11,2020-05-25 17:47:29,Thu May 28 17:47:29 PDT 2020,,,,78,0% (0/0),0% (0/0),0% (0/0),cnndm7397,unilm_out_v1,"['640', '641', '642', '643', '644', '645', '646', '647', '648', '649', '650', '651', '652', '653', '654', '655']",Philadelphia mayoral candidate Lynne Abraham collapsed on stage 10 minutes into Tuesday Night's hour - long debate between Democratic candidates running for Mayor of Philadelphia . The former Philadelphia District Attorney allegedly suffered a momentary drop in blood pressure and sat out the rest of the debate . Abraham said she was embarrassed but feeling well and that the incident won't impact her campaign . In a poll conducted after .,Lynne Abraham is a candidate.,Candidate / Lynne Abraham says she suffered a drop in blood pressure.,The drop in blood pressure was momentary.,Candidate / Lynne Abraham says the drop in blood pressure has never happened before .,A doctor kept candidate / Lynne Abraham from returning to the debate.,Candidate / Lynne Abraham was kept from returning to the debate.,Candidate / Lynne Abraham is a former District Attorney.,Candidate / Lynne Abraham is a 74 - year - old.,Candidate / Lynne Abraham says she will not let the incident affect her campaign .,Candidate / Lynne Abraham is running a campaign .,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,p,n,p,n,n,n,p,n,p,{},,
242,37PGLWGSKXUK0T77OVKPJYKMN89KIC,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:30 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:30 PDT 2020,,,32KTQ2V7RI3P10B1WFWTA299S809MO,A1A3J5IXCM8A7X,Submitted,2020-05-25 16:57:24,2020-05-25 16:59:36,Thu May 28 16:59:36 PDT 2020,,,,132,0% (0/0),0% (0/0),0% (0/0),cnndm3621,unilm_out_v1,"['416', '417', '418', '419', '420', '421', '422', '423', '424', '425', '426', '427', '428', '429', '430', '431']","The tragic fire at Bradford City's Valley Parade Stadium claimed 56 victims and injured 265 on May 11,1985 . There isn't a shred of evidence to suggest the blaze was caused deliberately . Martin Fletcher has written a book fifty - six , the story of the Bradford Fire . He says it is unfathomable to think there could have been an act of arson . It should never be .",John Helm was commentating on the game.,John Helm was commentating on the day the fire broke out.,John Helm gives his insight about what caused the fire.,The fire was caused 30 years ago.,John Helm said there wasn't a lot of evidence to suggest the fire was caused deliberately.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,p,n,n,n,n,n,{},,
243,37PGLWGSKXUK0T77OVKPJYKMN89KIC,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:30 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:30 PDT 2020,,,33NF62TLXOQJHOO7XFAQKJV8Z9RJK0,A16J6DE1FEIYEQ,Submitted,2020-05-25 17:48:59,2020-05-25 17:54:27,Thu May 28 17:54:27 PDT 2020,,,,328,0% (0/0),0% (0/0),0% (0/0),cnndm3621,unilm_out_v1,"['416', '417', '418', '419', '420', '421', '422', '423', '424', '425', '426', '427', '428', '429', '430', '431']","The tragic fire at Bradford City's Valley Parade Stadium claimed 56 victims and injured 265 on May 11,1985 . There isn't a shred of evidence to suggest the blaze was caused deliberately . Martin Fletcher has written a book fifty - six , the story of the Bradford Fire . He says it is unfathomable to think there could have been an act of arson . It should never be .",John Helm was commentating on the game.,John Helm was commentating on the day the fire broke out.,John Helm gives his insight about what caused the fire.,The fire was caused 30 years ago.,John Helm said there wasn't a lot of evidence to suggest the fire was caused deliberately.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,{},,
244,38XPGNCKIXO48X242AWSR6LKYOF4V3,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:30 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:30 PDT 2020,,,33C7UALJVQMSR662Y17HQEQVASO81T,AUB2Y2EREGBUZ,Submitted,2020-05-25 17:00:08,2020-05-25 17:01:30,Thu May 28 17:01:30 PDT 2020,,,,82,0% (0/0),0% (0/0),0% (0/0),cnndm8815,unilm_out_v1,"['176', '177', '178', '179', '180', '181', '182', '183', '184', '185', '186', '187', '188', '189', '190', '191']","Simon Wood , 38 , from Oldham , won Masterchef Last Friday . has never been on a single cookery course or even had one lesson . Learned about his cooking from reading and watching TV . He sharpens his skills by practicing on his four children - Liam , 20 , Alex , 18 , Cameron , 16 , and Charlotte , Seven . The lucky children are on the receiving .",Simon Wood was 38 years old.,Simon Wood was from Oldham.,Simon Wood won Masterchef.,Simon Wood won Masterchef last Friday.,Simon Wood was a father of four.,Simon Wood got cooking skills.,Simon Wood fed his culinary creations to his kids.,Simon Wood was an award winning chef.,Simon Wood talked about his favourite meals.,One of Simon Wood's favourite meals was a plain omelette.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,p,n,n,{},,
